com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
11293,0,4,19,1589689970583,13.49,UTC-0500,,19,1589689919999,1.1944444,hytsFLPcD3,1589689860000,com.sec.android.app.shealth,1589689970583,13fe494f-3310-f0c6-a41d-1e436c2dfcb3,0.68,230002,
13361,0,4,22,1589691307242,15.96,UTC-0500,,22,1589690159999,1.1944444,hytsFLPcD3,1589690100000,com.sec.android.app.shealth,1589691307243,5e78049e-a613-5fa3-3623-f4ab8e8be1a6,0.75,230002,
17153,0,4,35,1589691307340,27.16,UTC-0500,,35,1589691179999,1.5833334,hytsFLPcD3,1589691120000,com.sec.android.app.shealth,1589691307340,4a754c71-445f-1c1c-65b4-6c1be274a88a,1.19,230002,
6652,0,4,12,1589692022738,8.87,UTC-0500,,12,1589691899999,1.3333334,hytsFLPcD3,1589691840000,com.sec.android.app.shealth,1589692022738,d8967dd2-847b-d732-1542-6fe34fd9ef08,0.39,230002,
28712,0,4,42,1589693193503,29.51,UTC-0500,,42,1589692919999,1.0277778,hytsFLPcD3,1589692860000,com.sec.android.app.shealth,1589693193503,22956b25-7687-0159-acf9-158815e46847,1.46,230002,
4841,0,4,7,1589696086714,5.1099997,UTC-0500,,7,1589696100000,1.0555555,jpgso+yMpj,1589696040000,com.sec.android.app.shealth,1589696087225,e8681540-a039-453e-8e97-bfcc83df4688,0.26,,
21446,0,4,32,1589693480721,26.38,UTC-0500,,36,1589693519999,1.2300398,hytsFLPcD3,1589693460000,com.sec.android.app.shealth,1589693706112,e86d54ed-34ff-9f4e-8dad-d2e2a02e6b52,1.16,230002,
11433,0,4,20,1589694905195,14.61,UTC-0500,,20,1589693879999,1.2777778,hytsFLPcD3,1589693820000,com.sec.android.app.shealth,1589694905195,7aa28943-1e67-1820-ff11-2bc816ca3c73,0.62,230002,
5932,0,4,10,1589696102195,11.7,UTC-0500,,10,1589695859999,1.9722222,hytsFLPcD3,1589695800000,com.sec.android.app.shealth,1589696102196,a0548e46-6c24-15ab-72fc-5bfdb8c5c7e1,0.85,230002,
8239,0,4,14,1589732956033,10.46,UTC-0500,,14,1589733000000,1.2695314,jpgso+yMpj,1589732940000,com.sec.android.app.shealth,1589732964453,ab5e1fdb-daba-48c4-a97e-8643ef46399c,0.5,,
5156,0,4,8,1589736127614,5.7200003,UTC-0500,,8,1589736180000,1.1093758,jpgso+yMpj,1589736120000,com.sec.android.app.shealth,1589736128482,d00d2931-6452-4cd2-952e-f2a7b8f56c43,0.29999998,,
3126,0,4,7,1589739791013,5.21,UTC-0500,,7,1589739780000,1.6666666,jpgso+yMpj,1589739720000,com.sec.android.app.shealth,1589739791013,fb6902a6-9450-4b42-b844-a2f6609843c7,0.25,,
8859,0,4,14,1589731989314,10.09,UTC-0500,,14,1589732039999,1.1388888,hytsFLPcD3,1589731980000,com.sec.android.app.shealth,1589732013457,642a6845-0562-1bad-9aa1-37319a0aea5d,0.5,230002,
12833,0,4,26,1589736087346,20.32,UTC-0500,,26,1589736119999,1.5833334,hytsFLPcD3,1589736060000,com.sec.android.app.shealth,1589736087347,c718a74d-74b2-c925-1e07-f8e8c2dee4cb,0.87,230002,
5671,0,4,12,1589742212626,9.61,UTC-0500,,12,1589742179999,1.6944444,hytsFLPcD3,1589742120000,com.sec.android.app.shealth,1589742212626,cf9ad006-29f8-3976-49bd-fa2349859465,0.39,230002,
