com.samsung.shealth.exercise.weather,6100041,3
sunset_time,exercise_id,latitude,temperature_scale,type,deviceuuid,update_time,uv_index,icon_info_id,datauuid,sundown_time,content_provider,temperature,humidity,wind_speed,longitude,create_time,time_offset,wind_speed_unit,custom,wind_direction,start_time,pkg_name,phrase,forecast_time
,4edf34a1-25e1-6459-3fe7-f521ed6cdad5,19.344152,1,0,hytsFLPcD3,2020-03-10 14:49:58.991,2.0,1,4ecfb7db-28a0-17b0-957c-beb9e66e23a5,,TWC,13.0,64,,-99.19954,2020-03-10 14:49:58.991,UTC-0500,,,,2020-03-10 14:33:45.570,com.sec.android.app.shealth,Soleado,,
,d5a6e502-58d4-2946-ad04-7c2e3db51c23,19.342024,1,0,hytsFLPcD3,2019-09-04 02:49:11.456,0.0,19,bfbe9136-6aff-de83-7d58-25d3ffd2c26f,,TWC,18.0,58,,-99.19594,2019-09-04 02:49:11.456,UTC+0100,,,,2019-09-04 02:32:05.630,com.sec.android.app.shealth,Parcialmente nublado,,
,af130fc6-c9fb-6d17-6fa1-ca631d1c826b,19.344189,1,0,hytsFLPcD3,2019-09-08 17:18:45.617,11.0,2,ef97c4d3-9f2c-71ff-2a87-cc6d33949b70,,TWC,19.0,56,,-99.19673,2019-09-08 17:18:45.617,UTC+0100,,,,2019-09-08 16:51:43.980,com.sec.android.app.shealth,Parcialmente nublado,,
,c7aa118b-f405-a348-5e01-68e0d5358c21,19.361364,1,0,hytsFLPcD3,2020-03-15 18:40:50.202,11.0,1,e1783bc1-a6f7-a281-2c94-1837ac6b2d1a,,TWC,23.0,30,,-99.27334,2020-03-15 18:40:50.202,UTC-0500,,,,2020-03-15 18:22:42.100,com.sec.android.app.shealth,Soleado,,
,105623a1-1ba5-34c8-ae85-7f339a295179,19.344782,1,0,hytsFLPcD3,2019-09-05 11:58:03.336,0.0,19,154d5afc-2c93-3efb-2fea-bd67ddb8c9f4,,TWC,14.0,81,,-99.199196,2019-09-05 11:58:03.336,UTC+0100,,,,2019-09-05 11:46:07.270,com.sec.android.app.shealth,Parcialmente nublado,,
,a86d9681-973d-34ea-8ba9-213e75a95b8c,24.820913,1,0,hytsFLPcD3,2019-12-18 02:47:05.470,0.0,18,ba6717d6-542e-6509-60ec-09c25b9b00f6,,TWC,19.0,73,,-107.388916,2019-12-18 02:47:05.470,UTC+0100,,,,2019-12-18 02:26:53.764,com.sec.android.app.shealth,Despejado,,
,8591082c-20b3-42af-f3eb-b4b49f95d55b,19.408298,1,0,hytsFLPcD3,2020-03-16 06:08:26.546,0.0,3,53fa9e2b-e462-3c65-f4f2-41200f07d9bf,,TWC,16.0,59,,-99.08885,2020-03-16 06:08:26.546,UTC-0500,,,,2020-03-16 05:56:36.380,com.sec.android.app.shealth,Nublado,,
0,365d7924-cf00-4d14-9389-561d26654d36,24.816252,1,1,eL5K8TBQJK,2019-06-26 23:35:46.645,,1,1169c6c4-8dc5-47ea-a2d4-182c6b59d3f1,0,TWC,36.0,28,16.0,-107.38767,2019-06-26 23:35:46.645,UTC-0500,km/h,,SO. 230,2019-06-26 23:35:46.640,com.sec.android.app.shealth,Soleado,0,
,13322ef2-5ddc-91af-4da6-d24d9c6f01e5,19.343618,1,0,hytsFLPcD3,2019-11-06 15:05:22.437,2.0,2,ca7dce83-afbf-45d5-3f19-88d2ca5756ca,,Accuweather,13.5,79,7.0,-99.199326,2019-11-06 15:05:22.437,UTC+0100,km/h,,ONO,2019-11-06 14:53:13.180,com.sec.android.app.shealth,Parcialmente soleado,,
,06b20199-45a6-3d16-31e3-8d7b4e8bb6ad,19.343147,1,0,hytsFLPcD3,2019-10-27 19:37:18.141,6.0,3,06339026-1521-54ee-992c-ac8a015a940b,,TWC,22.0,51,,-99.19845,2019-10-27 19:37:18.141,UTC+0100,,,,2019-10-27 19:19:55.320,com.sec.android.app.shealth,Mayormente nublado,,
